Age	Non_Top5_Overall	Non_Top5_Potential	Non_Top5_Wage	Top5_Overall	Top5_Potential	Top5_Wage
16	54.0	73.0	1000.0	64.0	80.0	4000.0
17	56.0	75.0	1361.0	61.0	80.0	4556.0
18	56.0	72.0	1513.0	62.0	79.0	6417.0
19	59.0	72.0	1839.0	64.0	78.0	7167.0
20	60.0	71.0	3798.0	64.0	76.0	10348.0
21	62.0	71.0	4193.0	69.0	79.0	23226.0
22	64.0	71.0	4869.0	72.0	79.0	36364.0
23	65.0	71.0	4646.0	73.0	78.0	36182.0
24	65.0	70.0	4823.0	75.0	79.0	51450.0
25	66.0	69.0	5765.0	75.0	79.0	44889.0
26	68.0	69.0	7799.0	74.0	75.0	29789.0
27	68.0	69.0	8910.0	76.0	76.0	39850.0
28	68.0	68.0	8555.0	76.0	76.0	62947.0
29	68.0	68.0	7891.0	75.0	75.0	52077.0
30	69.0	69.0	10443.0	77.0	77.0	69462.0
31	69.0	69.0	10145.0	78.0	78.0	53625.0
32	69.0	69.0	9358.0	78.0	78.0	69600.0
33	69.0	69.0	9184.0	81.0	81.0	172000.0
34	69.0	69.0	10561.0	77.0	77.0	51000.0
35	68.0	68.0	4722.0	72.0	72.0	28500.0
36	67.0	67.0	3400.0	72.0	72.0	10000.0
37	72.0	72.0	10500.0	82.0	82.0	29000.0
39	68.0	68.0	4000.0	73.0	73.0	14000.0
